course_code,semester_no,section,subject_code,subject_name,faculty_id,faculty_name,faculty_email,is_active
MCA,4,A,MCA402,Cyber Security and Ethical Hacking,FACCA001,Bharat Saxena,bharat.saxena1651@outlook.com,YES
MCA,4,B,MCA402,Cyber Security and Ethical Hacking,FACCA002,Naga Rao,naga.rao1652@gmail.com,YES
MCA,4,C,MCA402,Cyber Security and Ethical Hacking,FACCA003,Tushar Joshi,tushar.joshi1653@yahoo.com,YES
MCA,4,D,MCA402,Cyber Security and Ethical Hacking,FACCA004,Ramesh Roy,ramesh.roy1654@gmail.com,YES
MCA,4,E,MCA402,Cyber Security and Ethical Hacking,FACCA005,Tushar Das,tushar.das1655@hotmail.com,YES
MCA,4,A,MCA403P,Major Project,FACCA006,Venkatesh Hegde,venkatesh.hegde1656@outlook.com,YES
MCA,4,B,MCA403P,Major Project,FACCA007,Ramya Saxena,ramya.saxena1657@hotmail.com,YES
MCA,4,C,MCA403P,Major Project,FACCA008,Tarun Saxena,tarun.saxena1658@gmail.com,YES
MCA,4,D,MCA403P,Major Project,FACCA009,Reshma Parthasarathy,reshma.parthasarathy1659@hotmail.com,YES
MCA,4,E,MCA403P,Major Project,FACCA010,Jagadish Saxena,jagadish.saxena1660@hotmail.com,YES
MCA,4,A,MCA404P,Project Seminar and Viva Voce,FACCA011,Deeksha Biswas,deeksha.biswas1661@outlook.com,YES
MCA,4,B,MCA404P,Project Seminar and Viva Voce,FACCA012,Siddharth Rajan,siddharth.rajan1662@gmail.com,YES
MCA,4,C,MCA404P,Project Seminar and Viva Voce,FACCA013,Mohammed Khan,mohammed.khan1663@gmail.com,YES
MCA,4,D,MCA404P,Project Seminar and Viva Voce,FACCA014,Hemalatha Shaik,hemalatha.shaik1664@hotmail.com,YES
MCA,4,E,MCA404P,Project Seminar and Viva Voce,FACCA015,Imran Khan,imran.khan1665@hotmail.com,YES
